number;name;category;price;stock_info;active
6329;"Фотоаппарат Nikon D3000 Kit AF-S 18-55DX VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";12259;Ожидается;1
6485;"Фотоаппарат Nikon D300S body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";40400;На складе;1
7298;"Фотоаппарат Nikon D300S Kit AF-S 16-85 DX VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";64946;Ожидается;1
12195;"Фотоаппарат Nikon D300S Kit AF-S 18-105 DX VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";53832;Ожидается;1
8940;"Фотоаппарат Nikon D3100 body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";13300;Ожидается;1
11171;"Фотоаппарат Nikon D3100 Kit 18-200 VR II";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
10066;"Фотоаппарат Nikon D3100 Kit AF-S 18-105 DX VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";19990;Ожидается;1
13299;"Фотоаппарат Nikon D3100 Kit AF-S 18-55 DX";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";14982;Ожидается;1
8103;"Фотоаппарат Nikon D3100 Kit AF-S 18-55 DX VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";15019;Ожидается;1
13238;"Фотоаппарат Nikon D3100 Kit AF-S 18-55 DX VR красный";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";15289;Ожидается;1
14954;"Фотоаппарат Nikon D3100 Kit AF-S 18-55 II + 55-200 VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";20989;Ожидается;1
13272;"Фотоаппарат Nikon D3100 Kit AF-S 18-55 VR + 55-200 VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";20190;Ожидается;1
14953;"Фотоаппарат Nikon D3100 Kit AF-S 18-55 VR + 55-300 VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";22890;Ожидается;1
12870;"Фотоаппарат Nikon D3200 body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";16653;Ожидается;1
15015;"Фотоаппарат Nikon D3200 kit 18-200 VR II";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";36584;Ожидается;1
13703;"Фотоаппарат Nikon D3200 Kit AF-S 18-105 VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";22700;Ожидается;1
15365;"Фотоаппарат Nikon D3200 Kit AF-S 18-55";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";18689;Ожидается;1
12823;"Фотоаппарат Nikon D3200 Kit AF-S 18-55 DX VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";18290;На складе;1
12343;"Фотоаппарат Nikon D3s Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";176422;Ожидается;1
12344;"Фотоаппарат Nikon D3x Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";284091;Ожидается;1
12345;"Фотоаппарат Nikon D4 Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";195001;Ожидается;1
3180;"Фотоаппарат Nikon D40 18-55 DX II lens kit Black";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
1747;"Фотоаппарат Nikon D40 18-55 DX II lens kit Silver";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3437;"Фотоаппарат Nikon D40 Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3216;"Фотоаппарат Nikon D40x 18-55 kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3656;"Фотоаппарат Nikon D40x 18-55 kit + 2x1Gb SD Ultra II";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3181;"Фотоаппарат Nikon D40x body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
909;"Фотоаппарат Nikon D50 18-55 lens kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
5967;"Фотоаппарат Nikon D5000 Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
6992;"Фотоаппарат Nikon D5000 Kit 18-200 VR II";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
6342;"Фотоаппарат Nikon D5000 Kit AF-S 18-105 VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
7707;"Фотоаппарат Nikon D5000 Kit AF-S 18-55DX";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
5968;"Фотоаппарат Nikon D5000 Kit AF-S 18-55DX VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
7299;"Фотоаппарат Nikon D5000 Kit AF-S 18-55DX VR + 55-200VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
